Airport Name,Zipcode
Kistler Ranch Airport,None
Terra Firma Airport,None
City of Coalgate Airport,80833
Duda Airstrip,74538
Sunniland Ranch Airport,None
J. H. Hendrie Farms Airport,None
Sapelo Island Airport,33943
Symms Airport,None
Hemmer RLA Restricted Landing Area,None
Alderson Airport,62832
Boss Airport,67422
Sauer Airport,42518
Aeleron Airport,60420
Wormid Airport,70541
Lindbergh Airport,01772
Twin Oaks Airport,04983
Williams Field,None
Clark Airport,None
Keller Brothers Airport,None
Whiteheart Farm Airport,17088
Brecht Strip,27023
Laurel Municipal Airport,None
Md1 Airport,None
Kenley Airport,10998
Parks Airport,44404
Broken B Airport,None
Saxon Sycan Airport,73048
Richmond Airport,None
B. J. Mc Combs Sisterdale Airport,02836
Cross Wind Airport,78074
Stevens-Crosby Airport,76082
Springwood Airstrip,None
Knolle Ranch Airport,24066
Peterson Airport,77878
Stronghold Airport,99652
Alta Sierra Airport,None
Cottonwood Field,None
Placid Lakes Airport,81077
Cheryl-Lane Landings Airport,33852
Sunnybreeze Airport,33513
Skydive Iowa Airport,31788
Taylor Ranch Landing Area Airport,52211
Gibbons Field,None
Gordon Airport,None
Coffman Airport,None
Pine Hill Airport,46725
Kallander Field,61012
Perrotti Skyranch Airfield,01772
W Johnson Field,None
Hogue Farm Airport,56245
Airhaven Airport,65781
William Irving Lewis Airport,12580
Dakota Air Ranch Airport,68007
Eagle Field,74021
Sullivan Lake State Airport,16870
Lazy G Bar Ranch Airport,None
Running M Ranch Airport,None
Pitcock Rosillos Mountain Ranch Airport,74674
Smokey Mtn Ranch Airport,None
Alum Ridge STOLport,None
Parkway Farm Strip,24091
Pilot Station Airport,None
Scotts Airport,99650
Anderson Lake Airport,None
Yentna Bend Strip,99654
Young Creek Airport,None
Victory Airport,None
Bradley Lake Hydroelectri Project Airstrip,None
Falcon Lake Strip,None
Resort Airport,99632
Wilson Creek Airport,36426
Hooterville South Airport,35634
Taylor Field,None
Western Sky Airport,None
Flying Bucket Ranch Airport,None
Castle Well Airport,None
Brewer Airport,85342
Warren-Sugarbush Airport,04474
Triple R Airport,05674
Hinckley Airport,64439
Canadian Lakes Airport,60520
Grandpas' Farm Mendota Airport,49346
Cushing Field Ltd Airport,61342
Shepherd Farm Airport,93460
Emory Ranch Airport,92070
Ward Ranch Airport,None
Blech Ranch Airport,None
