Airport Name,Zipcode
Agro Servicio Yoris Airport,2103
Alfomso Mengo Airport,2103
Aeródromo Almendralejo,2110
Bemichi Airport,2115
Piche Airport,2115
Pásztó-Hasznos repülőtér,2118
Ränneslätt Airport,2132
Aeródromo de Espiel,2150
Estancia Santa Romana Airport,2189
Veren Airfield,2200
Andavadoaka Airport,2210
Draganovtsi Airport,2227
Fromissard ULM,2230
Gaussan ULM,2230
Kimberley Airport,2231
Zastron Airport,2251
Mitzic Airport,2254
Base ULM de Kerfot,2260
Ulmodrome de Limoux,2260
Seyne les Alpes Glider Field,2300
Troye d'Ariège ULM,2300
Saldanha /Vredenburg Airport,2302
Lefkoniko Airport,2311
Haugesund Airport,2319
Swan Reach Airport,2328
Lily Dutch Windmill Airstrip,2337
Aeroclub San Javier,2345
Cannizzaro Field,2350
Ellisras Matimba Airport,2350
Mórahalom Repülőtér,2351
Kiskunhalas-Füzespuszta,2365
Plettenberg Bay Airport,2380
Valley View,2409
Hokksund Airfield,2415
Sishen Airport,2430
Presidente Avellaneda Airport,2434
La Montaña ULM,2440
Baradero Airport,2454
Vereeniging Airport,2470
Wevelgem Airport,2490
Calvinia Airport,2499
Rensselaer County Airport,2536
Keimouth Airport,2551
Obbia Airport,2561
Beletwene Airport,2561
Kophinou Highway Strip,2572
Tim's Airport,2576
Snåsa Airfield Grønøra,2582
Altenburg-Nobitz Airport,2627
Formosa Aeroclub Airport,2630
Welgevonden Reserve,2630
Tardun Christian Brothers airfield,2653
Hódmezővásárhelyi Airport,2657
Hughes Ultralightport,2693
Köthen Airport,2694
Pskhu,2700
Mestia Airport,2700
Fumigaciones González Airport,2705
Verborgenfontei Airport,2710
Riverside Airport,2735
San Benito Airport,2741
Termal Airport,2745
Manyani Game Lodge Airport,2745
Vedia Aeroclub,2752
Kokstad Airport,2770
Unknown Field,2779
Marble Head Farm Airport,2790
Burhans Memorial Airport,2791
La Carlota Airport,2823
Schmoldow Airport,2829
"Moss Airport, Rygge",2833
B. J. Mc Combs Sisterdale Airport,2836
Bardufoss Airport,2870
Aeroboero Airport,2919
Fyresdal Airfield,2920
Staroseltsi,2923
Jehonville Air Base,2930
Ath/Isieres Ulmodrome,2940
Ngala Airport,2940
Barrancas Airport,2942
Burdisso Airport,2942
El Gringo Airport,2946
Riesa-Göhlis Airport,2979
Djambala Airport,2998
Chialva S. H. Airport,3005
Aeroclub San Martín,3040
Stiefel Airport,3050
Halle-Oppin Airport,3058
Chevron Texaco Airport,3060
Tozeur Nefta International Airport,3064
Papkutapuszta,3078
Oripää Airport,3100
Warmbaths Airport,3100
Erfurt Airport,3103
Aerodromo de Figueira dos Cavaleiros,3106
Piche Airport,3120
São Pedro Airport,3120
Parque Hermoso Airport,3133
Timbo Airstrip,3133
Juarez Celman Airport,3150
Oliva Airport,3150
Batan Airport,3170
Pietermaritzburg Airport,3170
Kautokeino Air Base,3172
Buenos Aires Airport,3185
Augusto Leguizamon Airport,3192
Estancia Don Roberto Airport,3196
Eggersdorf Airport,3197
Confluencia Airport,3200
Pilanesberg International Airport,3200
Hoktember Highway Strip,3201
Gahcho Kue,3204
Tapolca,3213
El Malagueño Airport,3218
La Lucía Airport,3224
Montgomery's Flying M Ranch Airport,3224
Rothenburg/Görlitz Airport,3229
St Bernard Field,3231
San Patricio Airport,3231
Westport Airport,3235
Nardt Airfield,3238
Tutow Airport,3238
Puerto San Antonio Este Airstrip,3240
Trysil Sæteråsen Airport,3241
Bjørnø Flyveplads,3250
Hinaman Acres Airport,3264
Concepcion Del Uruguay Airport,3280
Northcliffe Airstrips (needs confirmation),3284
Koksijde Air Base,3290
Tsletsi Airport,3300
Theux (Verviers) Airfield,3300
Hattfjelldal Airport,3300
Edenburg Airport,3300
Parker Airport,3301
Voysil Airfield,3301
Vøjstrup Glider Field,3330
Gørlev Flyveplads,3330
Scaro Airport,3340
Ameghino Airport,3344
Loma Alta Airport,3346
Ejstrupholm,3390
Don Jose Airport,3400
Malatini Airport,3400
Finca Porvenir 8 Airport,3423
Ruidera2,3439
Fumigaciones Airport,3460
Gørløse Glider Field,3480
Zoersel (Oostmalle) Airfield,3500
Senaki Air Base,3500
Verneuil en Bourbonnais,3500
Poti East Airport,3500
Estancia La Providencia Airport,3511
Veronica Airport,3550
Montes De Oca Airport,3572
Ackley Municipal Airport,3576
Chapin Field,3580
Poole Farm Airport,3581
Sully Municipal Airport,3595
Grønbæk Flyveplads,3600
Carabon Airport,3600
Ørland Airport,3676
Spa (la Sauvenière) Airfield,3690
Estancia La Elba,3700
Stord Airport,3728
General Villegas Airport,3730
El Jagüel Airport,3732
General Pinto Airport,3734
Aeroclub de El Chaltén Alf. G.N.A. Walter Omar D Anna,3734
Champion Ranch Airport,3741
Black Rapids Airport,3774
Aeródromo de Sonseca,3788
Don Benito,3794
Mehamn Airport,3825
Aeródromo de la Curiscada,3830
Aeroclub de Barbastro,3830
Ellington Airport,3862
Folldal Grimsmoe Airport,3870
Sárospatak Airport,3882
Snowy Range Airfield,3900
Riversdale Airport,3900
Kulusuk Airport,3905
Namur-Suarlée Airfield,3910
Thule Air Base,3911
Mestersvig Airport,3912
Neerlerit Inaat Airport,3923
Delareyville Airport,3936
Liernu ULM,3940
Narsarsuaq Airport,3950
Gyomaendrőd,3950
Heilbron Airport,3960
Büllingen ULM,3990
Von Abo's Villa Airport,4000
Fairplains Airpark,4001
Sossamon Field,4010
Nauerth Land Ranch Airport,4040
Airbatco Field,4042
Dendron Airport,4052
Belleville (Johnston) Airport,4055
Bergemann Airport,4062
Tyler Farms Airport,4097
Up Yonder Airport,4098
Dwight Airport,4100
Sæby (Ottestrup) Airport,4100
Mestia Airport,4100
Lagodekhi Airfield,4100
Carls Airport,4105
Veinticinco De Mayo Airport,4107
Verchocq Airpark,4120
Mont sur Meurthe,4120
Selskostopansko Airstrip,4130
Gaussan ULM,4140
Base ULM de Fresnoy le Grand,4140
Thorame--Haute Les Serres Airport,4170
Altiport de Val Thorens,4170
Thorame--Haute Les Serres Airport,4170
Uls Airport,4170
Sindal Airport,4173
Rosario Del Tala Airport,4190
Ølgod Airfield,4200
Halfweg Airport,4225
Læsø Airport,4241
Claveisolles Airport,4250
Base Ulm du Val de l'Ailette,4250
Aérodrome de Saint-Aubin La Plaine,4250
Harrold Airport,4254
Pingston Aeroworks Airport,4260
Hammerfest Airport,4264
Musina(Messina) Airport,4270
High Grove Airport,4276
Schmidt Private Airport,4276
Antwerp International Airport (Deurne),4280
Grenaa Airport,4281
Schiffer Acres Airport,4290
King Trout Airport,4292
Tølløse Flyveklub,4305
Uls Airport,4370
Thorame--Haute Les Serres Airport,4370
Lagodekhi Airfield,4400
